 MST patronage by contract region and fare type ,,,,
Region,Fare Type,Count,Sales,Grand Total
OSMBSC001,Adult,10,"1,398","1,408"
,Concession,19,"3,362","3,381"
,PET,21,,21
OSMBSC002,Adult,138,"5,090","5,228"
,Concession,191,"11,190","11,381"
,PET,170,,170
OSMBSC003,Adult,184,"3,584","3,768"
,Concession,228,"4,520","4,748"
,PET,65,,65
OSMBSC004,Adult,168,"3,496","3,664"
,Concession,119,"9,904","10,023"
,PET,282,,282
OSMBSC005,Adult,38,"19,349","19,387"
,Concession,14,"44,180","44,194"
,PET,544,,544
OSMBSC006,Adult,"1,397","18,195","19,592"
,Concession,"1,469","32,103","33,572"
,PET,510,,510
OSMBSC007,Adult,671,"8,431","9,102"
,Concession,264,"19,530","19,794"
,PET,300,,300
OSMBSC008,Adult,69,"2,832","2,901"
,Concession,5,"2,834","2,839"
,PET,91,,91
OSMBSC009,Adult,5,771,776
,Concession,4,659,663
,PET,23,,23
OSMBSC010,Adult,305,"15,949","16,254"
,Concession,334,"35,535","35,869"
,PET,168,,168
,Shuttle,"250,247",,"250,247"
OSMBSC011,Adult,9,205,214
,Concession,18,401,419
,PET,1,,1
OSMBSC012,Adult,23,"3,752","3,775"
,Concession,20,"3,524","3,544"
,PET,20,,20
SMBSC001,Adult,"1,835","48,917","50,752"
,Concession,300,"84,442","84,742"
,PET,804,,804
,Shuttle,"1,502",,"1,502"
SMBSC002,Adult,684,"12,040","12,724"
,Concession,449,"21,080","21,529"
,PET,681,,681
SMBSC003,Adult,"1,826","40,324","42,150"
,Concession,631,"80,211","80,842"
,PET,"1,135",,"1,135"
SMBSC004,Adult,"21,293","40,725","62,018"
,Concession,"2,247","36,448","38,695"
,PET,"2,270",,"2,270"
SMBSC005,Adult,"1,867","7,198","9,065"
,Concession,273,"14,359","14,632"
,PET,"1,447",,"1,447"
SMBSC006,Adult,85,"24,541","24,626"
,Concession,28,"29,655","29,683"
,PET,968,,968
SMBSC007,Adult,126,"16,333","16,459"
,Concession,36,"16,146","16,182"
,PET,"1,125",,"1,125"
SMBSC008,Adult,116,"35,259","35,375"
,Concession,14,"32,110","32,124"
,PET,613,,613
SMBSC009,Adult,149,"41,311","41,460"
,Concession,23,"24,142","24,165"
,PET,"1,206",,"1,206"
SMBSC010,Adult,989,"13,258","14,247"
,Concession,274,"21,928","22,202"
,PET,"2,756",,"2,756"
SMBSC012,Adult,553,"2,713","3,266"
,Concession,181,"4,181","4,362"
,PET,733,,733
SMBSC013,Adult,"1,164","21,038","22,202"
,Concession,403,"34,182","34,585"
,PET,"2,695",,"2,695"
,Shuttle,"98,460",,"98,460"
SMBSC014,Adult,"1,107","4,810","5,917"
,Concession,336,"6,418","6,754"
,PET,578,,578
SMBSC015,Adult,522,"16,807","17,329"
,Concession,381,"28,425","28,806"
,PET,229,,229
Other,Adult,"5,541","2,696","8,237"
,Concession,80,"1,030","1,110"
,PET,109,,109
Grand Total,,"418,968","1,013,521","1,432,489"
